# This file is generated by MACS version 2.0.10.20130915 (tag:beta)
# Command line: callpeak -t algr1vsv/accepted_hits.bam -c ck1vsv/accepted_hits.bam -f BAM -g 6400000 --nomodel --shiftsize=75 -n algrmacs2e15 -p 1e-15
# ARGUMENTS LIST:
# name = algrmacs2e15
# format = BAM
# ChIP-seq file = ['algr1vsv/accepted_hits.bam']
# control file = ['ck1vsv/accepted_hits.bam']
# effective genome size = 6.40e+06
# band width = 300
# model fold = [5, 50]
# pvalue cutoff = 1.00e-15
# qvalue will not be calculated and reported as -1 in the final output.
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 52 bps
# total tags in treatment: 5041546
# tags after filtering in treatment: 3708547
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.26
# total tags in control: 3270839
# tags after filtering in control: 2706270
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.17
# d = 150
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
NC_002516.2	4910691	4910886	196	4910813	203.60	41.02278	3.03331	37.24874	algrmacs2e15_peak_58
NC_002516.2	4921814	4921967	154	4921889	202.87	36.81969	2.83938	33.45465	algrmacs2e15_peak_59
NC_002516.2	5014058	5014248	191	5014150	217.46	41.99931	2.95219	38.12098	algrmacs2e15_peak_60
NC_002516.2	5098051	5098242	192	5098137	205.06	40.24552	2.96847	36.56124	algrmacs2e15_peak_61
NC_002516.2	5192937	5193127	191	5193033	210.89	47.45976	3.28885	42.76669	algrmacs2e15_peak_62
NC_002516.2	5284063	5284219	157	5284140	213.81	43.67394	3.07140	39.55100	algrmacs2e15_peak_63
NC_002516.2	5326549	5326699	151	5326624	210.16	37.45146	2.79503	34.01894	algrmacs2e15_peak_64
NC_002516.2	5553529	5553688	160	5553586	205.06	29.47018	2.46332	26.55990	algrmacs2e15_peak_65
NC_002516.2	5672957	5673106	150	5673034	192.65	29.80811	2.57241	26.88298	algrmacs2e15_peak_66
NC_002516.2	5676242	5676402	161	5676313	210.16	35.69676	2.71420	32.41721	algrmacs2e15_peak_67
NC_002516.2	5809808	5809981	174	5809912	216.00	40.90455	2.90402	37.13827	algrmacs2e15_peak_68
NC_002516.2	5816096	5816261	166	5816177	214.54	32.21404	2.53580	29.15594	algrmacs2e15_peak_69
NC_002516.2	5836372	5836571	200	5836483	211.62	40.79425	2.94963	37.05275	algrmacs2e15_peak_70
NC_002516.2	5847223	5847381	159	5847276	177.33	25.19789	2.44082	22.49663	algrmacs2e15_peak_71
NC_002516.2	5922635	5923683	1049	5923332	218.92	27.48395	2.31496	24.67151	algrmacs2e15_peak_72
