# This file is generated by MACS version 2.0.10.20130915 (tag:beta)
# Command line: callpeak -t soxr1vsv/accepted_hits.bam -c ck1vsv/accepted_hits.bam -f BAM -g 6400000 --nomodel --shiftsize=75 -n soxrvsvmacs2 -p 1e-5
# ARGUMENTS LIST:
# name = soxrvsvmacs2
# format = BAM
# ChIP-seq file = ['soxr1vsv/accepted_hits.bam']
# control file = ['ck1vsv/accepted_hits.bam']
# effective genome size = 6.40e+06
# band width = 300
# model fold = [5, 50]
# pvalue cutoff = 1.00e-05
# qvalue will not be calculated and reported as -1 in the final output.
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 52 bps
# total tags in treatment: 2481036
# tags after filtering in treatment: 2041332
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.18
# total tags in control: 3270839
# tags after filtering in control: 2706270
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.17
# d = 150
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
NC_002516.2	4710772	4711025	254	4710920	115.00	10.50454	1.93866	7.50333	soxrvsvmacs2_peak_30
NC_002516.2	4711169	4711336	168	4711243	117.00	11.45130	1.99726	8.42306	soxrvsvmacs2_peak_31
NC_002516.2	4813800	4814217	418	4814102	144.00	20.63740	2.42332	17.42247	soxrvsvmacs2_peak_32
NC_002516.2	4853404	4853564	161	4853499	140.00	7.68627	1.63506	4.90117	soxrvsvmacs2_peak_33
NC_002516.2	5027976	5028157	182	5028099	168.00	13.21806	1.86203	10.13959	soxrvsvmacs2_peak_34
NC_002516.2	5029992	5030192	201	5030119	244.00	14.11023	1.69766	11.01206	soxrvsvmacs2_peak_35
NC_002516.2	5051910	5052108	199	5052017	97.00	9.84665	2.00640	6.87220	soxrvsvmacs2_peak_36
NC_002516.2	5366775	5366960	186	5366864	135.00	12.29950	1.95287	9.24519	soxrvsvmacs2_peak_37
NC_002516.2	5376389	5376552	164	5376486	123.00	13.39309	2.09882	10.31020	soxrvsvmacs2_peak_38
NC_002516.2	5444941	5445104	164	5445006	112.00	11.98001	2.07130	8.93456	soxrvsvmacs2_peak_39
NC_002516.2	5479069	5479220	152	5479122	105.00	5.97738	1.62788	3.50226	soxrvsvmacs2_peak_40
NC_002516.2	5502174	5502352	179	5502286	109.00	9.36698	1.88593	6.42038	soxrvsvmacs2_peak_41
NC_002516.2	5602488	5602659	172	5602613	116.00	6.47222	1.62717	3.88027	soxrvsvmacs2_peak_42
NC_002516.2	5626169	5626328	160	5626261	122.00	13.06074	2.08189	9.98526	soxrvsvmacs2_peak_43
NC_002516.2	6000950	6001142	193	6001032	138.00	9.88101	1.78346	6.90551	soxrvsvmacs2_peak_44
NC_002516.2	6198146	6198457	312	6198182	140.00	13.16126	1.98174	10.08379	soxrvsvmacs2_peak_45
