# This file is generated by MACS version 2.0.10.20130915 (tag:beta)
# Command line: callpeak -t gaca1vsv/accepted_hits.bam -c ck1vsv/accepted_hits.bam -f BAM -g 6400000 --nomodel --shiftsize=75 -n gacavsvmacs2e10 -p 1e-10
# ARGUMENTS LIST:
# name = gacavsvmacs2e10
# format = BAM
# ChIP-seq file = ['gaca1vsv/accepted_hits.bam']
# control file = ['ck1vsv/accepted_hits.bam']
# effective genome size = 6.40e+06
# band width = 300
# model fold = [5, 50]
# pvalue cutoff = 1.00e-10
# qvalue will not be calculated and reported as -1 in the final output.
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 52 bps
# total tags in treatment: 1474049
# tags after filtering in treatment: 1270621
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.14
# total tags in control: 3270839
# tags after filtering in control: 2706270
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.17
# d = 150
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
NC_002516.2	1492818	1493001	184	1492936	79.00	13.67659	2.59908	10.71062	gacavsvmacs2e10_peak_14
NC_002516.2	2768507	2768720	214	2768555	83.00	15.45796	2.72903	12.18300	gacavsvmacs2e10_peak_15
NC_002516.2	2770620	2770769	150	2770712	82.00	13.23077	2.50114	10.35719	gacavsvmacs2e10_peak_16
NC_002516.2	2925799	2926431	633	2926232	175.00	53.95374	4.17764	47.15686	gacavsvmacs2e10_peak_17
NC_002516.2	3219745	3219950	206	3219823	113.00	25.21581	3.14802	21.14809	gacavsvmacs2e10_peak_18
NC_002516.2	3259995	3260207	213	3260039	77.00	12.81747	2.53410	10.00817	gacavsvmacs2e10_peak_19
NC_002516.2	3306649	3306856	208	3306768	87.00	17.32033	2.85898	13.73081	gacavsvmacs2e10_peak_20
NC_002516.2	3334851	3335004	154	3334937	87.00	17.17949	2.84372	13.61331	gacavsvmacs2e10_peak_21
NC_002516.2	3718694	3718861	168	3718774	85.00	16.37925	2.79401	12.93954	gacavsvmacs2e10_peak_22
NC_002516.2	3825107	3825275	169	3825217	91.00	13.36893	2.39167	10.46581	gacavsvmacs2e10_peak_23
NC_002516.2	3828699	3828933	235	3828794	81.00	13.32063	2.52641	10.42286	gacavsvmacs2e10_peak_24
NC_002516.2	3925944	3926094	151	3926007	89.00	18.28078	2.92396	14.57557	gacavsvmacs2e10_peak_25
NC_002516.2	3982421	3982608	188	3982469	77.00	12.56201	2.50461	9.80581	gacavsvmacs2e10_peak_26
NC_002516.2	4066655	4066822	168	4066691	79.00	13.30368	2.55669	10.40902	gacavsvmacs2e10_peak_27
NC_002516.2	4122746	4122897	152	4122782	83.00	15.45796	2.72903	12.18300	gacavsvmacs2e10_peak_28
NC_002516.2	4236063	4236270	208	4236097	81.00	14.06946	2.60945	11.05232	gacavsvmacs2e10_peak_29
NC_002516.2	4367804	4367976	173	4367868	96.00	21.15659	3.08610	17.21704	gacavsvmacs2e10_peak_30
NC_002516.2	4506977	4507142	166	4507093	87.00	15.48671	2.66311	12.20887	gacavsvmacs2e10_peak_31
NC_002516.2	4537775	4537938	164	4537887	93.00	17.64866	2.78532	14.01405	gacavsvmacs2e10_peak_32
NC_002516.2	4642690	4642886	197	4642805	88.00	16.51399	2.75443	13.05537	gacavsvmacs2e10_peak_33
NC_002516.2	4727048	4727266	219	4727138	94.00	20.76397	3.08640	16.85583	gacavsvmacs2e10_peak_34
NC_002516.2	4727710	4728054	345	4727765	88.00	17.79816	2.89147	14.14367	gacavsvmacs2e10_peak_35
NC_002516.2	4728370	4728549	180	4728447	100.00	22.45797	3.13675	18.45974	gacavsvmacs2e10_peak_36
NC_002516.2	4733486	4733786	301	4733694	82.00	15.00488	2.69654	11.80482	gacavsvmacs2e10_peak_37
NC_002516.2	4737241	4737464	224	4737350	96.00	21.78906	3.15138	17.82199	gacavsvmacs2e10_peak_38
NC_002516.2	4744301	4744488	188	4744425	89.00	17.19620	2.80864	13.62746	gacavsvmacs2e10_peak_39
NC_002516.2	4880141	4880351	211	4880237	100.00	18.86716	2.78903	15.10850	gacavsvmacs2e10_peak_40
NC_002516.2	5407907	5408196	290	5408136	82.00	14.04035	2.58962	11.02859	gacavsvmacs2e10_peak_41
NC_002516.2	5458148	5458327	180	5458249	96.00	19.36146	2.90452	15.55984	gacavsvmacs2e10_peak_42
NC_002516.2	5507430	5507640	211	5507543	89.00	15.74532	2.65756	12.43388	gacavsvmacs2e10_peak_43
NC_002516.2	5781768	5781942	175	5781852	97.00	18.95435	2.84682	15.17742	gacavsvmacs2e10_peak_44
NC_002516.2	5915320	5915524	205	5915408	106.00	15.29025	2.39187	12.05816	gacavsvmacs2e10_peak_45
